Report date,Delay local link (-),Delay local link (+),Cases with delay - local link (-),Cases with delay - local link (+),Local link (+),Local link (-)
2020-10-01,19.0,18.0,4.0,7.0,2.5714285714285716,4.75
2020-10-02,30.0,17.0,5.0,7.0,2.4285714285714284,6.0
2020-10-03,39.0,19.0,7.0,8.0,2.375,5.571428571428571
2020-10-04,49.0,26.0,9.0,11.0,2.3636363636363638,5.444444444444445
2020-10-05,49.0,46.0,9.0,16.0,2.875,5.444444444444445
2020-10-06,40.0,55.0,8.0,19.0,2.8947368421052633,5.0
2020-10-07,40.0,57.0,8.0,20.0,2.85,5.0
2020-10-08,40.0,59.0,8.0,22.0,2.6818181818181817,5.0
2020-10-09,29.0,71.0,7.0,24.0,2.9583333333333335,4.142857142857143
2020-10-10,28.0,76.0,6.0,24.0,3.1666666666666665,4.666666666666667
2020-10-11,22.0,77.0,5.0,20.0,3.85,4.4
2020-10-12,20.0,57.0,5.0,15.0,3.8,4.0
2020-10-13,18.0,48.0,4.0,13.0,3.6923076923076925,4.5
2020-10-15,22.0,42.0,5.0,11.0,3.8181818181818183,4.4
2020-10-16,22.0,39.0,5.0,9.0,4.333333333333333,4.4
2020-10-18,35.0,25.0,6.0,6.0,4.166666666666667,5.833333333333333
2020-10-20,27.0,18.0,5.0,5.0,3.6,5.4
2020-10-21,28.0,4.0,5.0,3.0,1.3333333333333333,5.6
2020-10-22,25.0,11.0,4.0,4.0,2.75,6.25
2020-10-24,28.0,9.0,5.0,2.0,4.5,5.6
2020-10-25,26.0,9.0,5.0,2.0,4.5,5.2
2020-10-29,31.0,12.0,6.0,3.0,4.0,5.166666666666667
2020-10-30,22.0,18.0,6.0,5.0,3.6,3.6666666666666665
2020-11-01,19.0,24.0,5.0,7.0,3.4285714285714284,3.8
2020-11-02,20.0,24.0,5.0,7.0,3.4285714285714284,4.0
2020-11-03,27.0,17.0,6.0,6.0,2.8333333333333335,4.5
2020-11-04,55.0,17.0,7.0,6.0,2.8333333333333335,7.857142857142857
2020-11-05,53.0,23.0,6.0,8.0,2.875,8.833333333333334
2020-11-07,59.0,18.0,7.0,6.0,3.0,8.428571428571429
2020-11-08,62.0,14.0,8.0,5.0,2.8,7.75
2020-11-10,72.0,18.0,10.0,5.0,3.6,7.2
2020-11-11,72.0,25.0,10.0,6.0,4.166666666666667,7.2
2020-11-12,74.0,41.0,10.0,10.0,4.1,7.4
2020-11-13,48.0,41.0,9.0,10.0,4.1,5.333333333333333
2020-11-14,56.0,39.0,10.0,9.0,4.333333333333333,5.6
2020-11-15,50.0,42.0,9.0,10.0,4.2,5.555555555555555
